player,pos,age,bref_team_id,g,gs,mp,fg.,efg.,ft.,orb,drb,trb,ast,stl,blk,tov,pf,pts,po,conf
Chauncey Billups,SG,37,DET,19,7,309,0.304,0.392,0.833,4,24,28,42,8,1,25,25,72,NP,East
Bismack Biyombo,C,21,CHA,77,9,1072,0.611,0.611,0.517,105,261,366,8,7,86,40,124,222,FT,East
DeJuan Blair,PF,24,DAL,78,13,1214,0.534,0.534,0.636,139,229,368,70,60,21,77,192,497,FT,West
Andray Blatche,PF,27,BRK,73,7,1618,0.47600000000000003,0.48700000000000004,0.742,120,270,390,112,75,38,110,166,821,FT,East
Eric Bledsoe,PG,24,PHO,43,40,1416,0.47700000000000004,0.522,0.772,27,175,202,235,69,14,143,99,763,NP,West
Vander Blue,SG,21,BOS,3,0,15,0.5,0.5,0.2,0,3,3,1,0,0,2,1,5,NP,East
Keith Bogans,SG,33,BOS,6,0,55,0.5,0.75,1.0,0,3,3,3,1,0,1,2,12,NP,East
Andrew Bogut,C,29,GSW,67,67,1769,0.627,0.627,0.344,182,489,671,112,47,121,97,210,492,FT,West
Matt Bonner,PF,33,SAS,61,0,690,0.445,0.573,0.75,16,114,130,31,15,11,16,49,197,F,West
Trevor Booker,PF,26,WAS,72,45,1553,0.551,0.551,0.618,149,230,379,64,41,45,58,131,491,FT,East
Carlos Boozer,PF,32,CHI,76,76,2141,0.456,0.456,0.767,137,495,632,118,53,22,154,216,1042,FT,East
Chris Bosh,C,29,MIA,79,79,2531,0.516,0.555,0.82,98,424,522,87,80,78,125,192,1281,F,East
Avery Bradley,PG,23,BOS,60,58,1855,0.43799999999999994,0.485,0.804,48,178,226,85,63,11,96,145,891,NP,East
Elton Brand,PF,34,ATL,73,15,1414,0.539,0.539,0.649,97,264,361,74,40,88,60,192,419,FT,East
Corey Brewer,SF,27,MIN,81,81,2609,0.48100000000000004,0.517,0.718,63,144,207,135,151,30,105,210,998,NP,West
Lorenzo Brown,SG,23,PHI,26,0,224,0.302,0.32,0.6920000000000001,8,20,28,41,13,3,16,19,64,NP,East
Kobe Bryant,SG,35,LAL,6,6,177,0.425,0.445,0.857,2,24,26,38,7,1,34,9,83,NP,West
Chase Budinger,SF,25,MIN,41,8,751,0.39399999999999996,0.47600000000000003,0.821,19,84,103,31,19,2,24,58,274,NP,West
Reggie Bullock,SF,22,LAC,43,0,395,0.355,0.446,0.778,11,43,54,12,9,1,13,26,115,FT,West
Trey Burke,PG,21,UTA,70,68,2262,0.38,0.442,0.903,37,171,208,396,42,6,131,145,895,NP,West
Alec Burks,SG,22,UTA,78,12,2193,0.457,0.48700000000000004,0.748,59,198,257,212,69,14,149,190,1089,NP,West
Jimmy Butler,SG,24,CHI,67,67,2591,0.397,0.446,0.769,87,243,330,175,127,36,102,106,878,FT,East
Rasual Butler,SG,34,IND,50,2,378,0.46399999999999997,0.5820000000000001,0.5710000000000001,6,35,41,17,7,9,11,30,136,F,East
Dwight Buycks,PG,24,TOR,14,0,146,0.313,0.365,0.889,4,19,23,10,8,0,10,11,43,FT,East
Will Bynum,PG,31,DET,56,3,1054,0.428,0.451,0.802,24,75,99,216,39,7,103,121,485,NP,East
Nick Calathes,SG,24,MEM,71,7,1173,0.457,0.48700000000000004,0.611,23,114,137,207,66,8,101,117,347,FT,West
Jose Calderon,SG,32,DAL,81,81,2468,0.456,0.584,0.825,29,163,192,377,69,11,103,136,925,FT,West
Kentavious Caldwell-Pope,SG,20,DET,80,41,1583,0.396,0.46,0.77,38,118,156,55,75,12,28,145,470,NP,East
Isaiah Canaan,PG,22,HOU,22,0,252,0.35600000000000004,0.46,0.7240000000000001,7,17,24,22,8,4,21,25,101,FT,West
DeMarre Carroll,SF,27,ATL,73,73,2341,0.47,0.546,0.773,107,296,403,134,108,21,79,188,810,FT,East
Vince Carter,SG,37,DAL,81,0,1973,0.40700000000000003,0.4970000000000001,0.821,67,217,284,212,61,35,108,209,967,FT,West
Michael Carter-Williams,PG,22,PHI,70,70,2414,0.405,0.431,0.703,101,336,437,441,130,43,247,213,1167,NP,East
Omri Casspi,PF,25,HOU,71,2,1283,0.42200000000000004,0.496,0.68,55,205,260,88,44,14,72,100,490,FT,West
Mario Chalmers,PG,27,MIA,73,73,2178,0.45399999999999996,0.531,0.742,41,173,214,357,119,16,162,210,716,F,East
Tyson Chandler,C,31,NYK,55,55,1662,0.593,0.593,0.632,159,370,529,59,36,63,71,145,480,NP,East
Wilson Chandler,SF,26,DEN,62,55,1927,0.41600000000000004,0.499,0.7240000000000001,58,236,294,114,46,31,79,193,846,NP,West
Dionte Christmas,SF,27,PHO,31,0,198,0.355,0.4270000000000001,0.75,13,25,38,8,2,3,6,19,71,NP,West
Ian Clark,SG,22,UTA,23,0,172,0.38799999999999996,0.47,0.7140000000000001,3,16,19,15,8,2,14,24,68,NP,West
Victor Claver,SF,25,POR,21,0,184,0.405,0.44,0.909,9,30,39,12,3,3,11,16,47,FT,West
Norris Cole,PG,25,MIA,82,6,2014,0.414,0.474,0.779,17,143,160,248,77,5,127,156,527,F,East
Jason Collins,C,35,BRK,22,1,172,0.45799999999999996,0.45799999999999996,0.75,7,12,19,4,8,1,7,30,25,FT,East
Darren Collison,PG,26,LAC,80,35,2069,0.467,0.518,0.857,47,141,188,297,93,15,132,150,911,FT,West
Nick Collison,PF,33,OKC,81,0,1353,0.556,0.564,0.71,116,177,293,104,30,28,71,187,338,F,West
Mike Conley,PG,26,MEM,73,73,2446,0.45,0.5,0.815,41,172,213,441,110,13,150,141,1256,FT,West
Chris Copeland,SF,29,IND,41,0,265,0.47,0.611,0.7140000000000001,7,25,32,18,3,7,14,38,153,F,East
DeMarcus Cousins,C,23,SAC,71,71,2298,0.496,0.496,0.726,218,613,831,207,109,91,251,270,1614,NP,West
Allen Crabbe,SG,21,POR,15,0,100,0.364,0.455,0.75,1,8,9,6,2,1,3,10,33,FT,West
Jamal Crawford,SG,33,LAC,69,24,2094,0.41600000000000004,0.496,0.866,34,124,158,223,59,12,135,120,1282,FT,West
Jae Crowder,SF,23,DAL,78,8,1254,0.439,0.524,0.754,46,148,194,60,59,21,41,100,356,FT,West
Dante Cunningham,SF,26,MIN,81,7,1635,0.46399999999999997,0.46399999999999997,0.5670000000000001,112,218,330,83,62,58,42,146,510,NP,West
Stephen Curry,PG,25,GSW,78,78,2846,0.47100000000000003,0.5660000000000001,0.885,46,288,334,666,128,14,294,194,1873,FT,West
Samuel Dalembert,C,32,DAL,80,68,1614,0.568,0.568,0.737,200,341,541,38,41,94,90,210,529,FT,West
Luigi Datome,SF,26,DET,34,0,238,0.35100000000000003,0.387,0.8,14,32,46,11,6,1,11,20,83,NP,East
Brandon Davies,PF,22,PHI,51,0,575,0.42200000000000004,0.43,0.642,38,71,109,28,24,8,35,92,144,NP,East
Anthony Davis,C,20,NOP,67,66,2358,0.519,0.52,0.7909999999999999,207,466,673,105,89,189,109,200,1394,NP,East
Ed Davis,PF,24,MEM,63,4,956,0.534,0.534,0.528,92,168,260,27,17,43,40,114,357,FT,West
Matthew Dellavedova,SG,23,CLE,72,4,1271,0.41200000000000003,0.508,0.792,29,94,123,187,33,5,60,121,339,NP,East
DeMar DeRozan,SG,24,TOR,79,79,3017,0.429,0.452,0.8240000000000001,51,292,343,313,86,28,176,197,1791,FT,East
Boris Diaw,PF,31,SAS,79,24,1974,0.521,0.5589999999999999,0.7390000000000001,74,252,326,222,44,32,121,140,717,F,West
Gorgui Dieng,C,24,MIN,60,15,818,0.498,0.5,0.634,103,197,300,39,30,50,54,108,286,NP,West
Chris Douglas-Roberts,SF,27,CHA,49,8,1016,0.44,0.542,0.805,16,103,119,51,29,16,36,61,339,FT,East
Goran Dragic,SG,27,PHO,76,75,2668,0.505,0.561,0.76,69,176,245,447,104,22,213,206,1542,NP,West
Andre Drummond,C,20,DET,81,81,2619,0.623,0.623,0.418,440,631,1071,35,101,131,110,273,1095,NP,East
Jared Dudley,SF,28,LAC,74,43,1729,0.43799999999999994,0.529,0.655,36,124,160,104,41,10,56,146,511,FT,West
Tim Duncan,C,37,SAS,74,74,2158,0.49,0.49,0.731,158,563,721,220,43,139,159,134,1119,F,West
Mike Dunleavy,SF,33,CHI,82,61,2584,0.43,0.51,0.8540000000000001,46,299,345,186,64,46,108,163,929,FT,East
Kevin Durant,SF,25,OKC,81,81,3122,0.503,0.56,0.873,58,540,598,445,103,59,285,174,2593,F,West
Wayne Ellington,SG,26,DAL,45,1,393,0.4370000000000001,0.536,0.909,8,35,43,19,16,2,11,33,145,FT,West
Monta Ellis,PG,28,DAL,82,82,3023,0.451,0.478,0.7879999999999999,38,257,295,471,141,23,264,197,1560,FT,West
Jeremy Evans,SF,26,UTA,66,4,1209,0.527,0.527,0.68,120,190,310,44,42,46,40,139,401,NP,West
Tyreke Evans,SF,24,NOP,72,22,2028,0.436,0.44799999999999995,0.7709999999999999,76,265,341,363,84,21,175,155,1042,NP,East
Kenneth Faried,PF,24,DEN,80,77,2178,0.545,0.545,0.65,238,446,684,96,70,69,135,193,1096,NP,West
Jordan Farmar,PG,27,LAL,41,5,912,0.415,0.511,0.746,20,84,104,199,38,8,95,65,416,NP,West
Vitor Faverani,C,25,BOS,37,8,488,0.435,0.47600000000000003,0.649,42,86,128,16,14,27,41,74,164,NP,East
Derrick Favors,PF,22,UTA,73,73,2201,0.522,0.522,0.669,199,438,637,91,75,108,129,236,970,NP,West
Carrick Felix,SG,23,CLE,7,0,38,0.5,0.5710000000000001,0.75,1,5,6,4,0,0,4,4,19,NP,East
Raymond Felton,PG,29,NYK,65,65,2017,0.395,0.446,0.721,54,143,197,365,78,27,129,157,630,NP,East
Landry Fields,SF,25,TOR,30,2,322,0.40299999999999997,0.40299999999999997,0.636,15,44,59,20,10,3,11,25,68,FT,East
Derek Fisher,SG,39,OKC,81,0,1428,0.391,0.512,0.775,12,110,122,117,70,3,49,157,425,F,West
Evan Fournier,SG,21,DEN,76,4,1503,0.419,0.501,0.7559999999999999,34,168,202,112,34,7,100,179,638,NP,West
Randy Foye,SG,30,DEN,81,78,2485,0.413,0.521,0.8490000000000001,36,196,232,287,67,39,145,205,1068,NP,West
Jamaal Franklin,SG,22,MEM,21,0,161,0.41,0.474,1.0,4,19,23,6,4,2,11,23,39,FT,West
Joel Freeland,C,26,POR,52,0,727,0.475,0.475,0.69,88,120,208,36,10,22,32,95,174,FT,West
Channing Frye,PF,30,PHO,82,82,2312,0.4320000000000001,0.535,0.821,73,343,416,98,60,63,89,245,910,NP,West
Francisco Garcia,SF,32,HOU,55,4,1083,0.401,0.519,0.526,21,101,122,63,27,33,30,120,315,FT,West
Kevin Garnett,C,37,BRK,54,54,1109,0.441,0.441,0.809,60,298,358,82,43,40,69,123,352,FT,East
Diante Garrett,PG,25,UTA,71,0,1048,0.381,0.449,0.833,11,86,97,120,41,5,75,75,248,NP,West
Marc Gasol,C,29,MEM,59,59,1970,0.473,0.474,0.768,84,340,424,215,59,76,111,150,859,FT,West
Pau Gasol,C,33,LAL,60,60,1884,0.48,0.48200000000000004,0.736,124,456,580,201,27,92,141,124,1041,NP,West
Alonzo Gee,SF,26,CLE,65,24,1020,0.415,0.456,0.705,35,114,149,47,39,15,44,96,258,NP,East
Paul George,SF,23,IND,80,80,2898,0.424,0.49,0.8640000000000001,64,478,542,283,151,22,224,198,1737,F,East
Taj Gibson,PF,28,CHI,82,8,2351,0.479,0.479,0.7509999999999999,200,358,558,91,41,112,150,207,1069,FT,East
Manu Ginobili,SG,36,SAS,68,3,1550,0.469,0.541,0.851,30,172,202,293,70,17,139,128,838,F,West
Rudy Gobert,C,21,UTA,45,0,434,0.486,0.486,0.4920000000000001,51,104,155,7,8,41,32,57,104,NP,West
Drew Gooden,C,32,WAS,22,0,395,0.531,0.556,0.889,37,77,114,15,10,7,17,53,183,FT,East
Archie Goodwin,SG,19,PHO,52,0,533,0.455,0.47,0.6729999999999999,25,62,87,20,20,11,44,45,194,NP,West
Ben Gordon,SG,30,CHA,19,0,279,0.34299999999999997,0.38,0.81,3,24,27,21,10,2,21,18,99,FT,East
Eric Gordon,SG,25,NOP,64,64,2057,0.436,0.498,0.785,30,135,165,208,74,12,134,114,988,NP,East
Marcin Gortat,C,29,WAS,81,80,2655,0.542,0.542,0.6859999999999999,202,565,767,138,41,121,126,201,1068,FT,East
Danny Green,SG,26,SAS,68,59,1651,0.4320000000000001,0.562,0.794,25,204,229,104,65,61,76,107,618,F,West
Draymond Green,SF,23,GSW,82,12,1797,0.40700000000000003,0.467,0.667,86,323,409,152,102,72,91,231,511,FT,West
Gerald Green,SG,28,PHO,82,48,2330,0.445,0.547,0.848,48,227,275,122,70,42,145,220,1295,NP,West
Jeff Green,SF,27,BOS,82,82,2805,0.41200000000000003,0.469,0.795,54,326,380,138,57,47,165,180,1382,NP,East
Willie Green,SG,32,LAC,55,9,869,0.376,0.452,0.8240000000000001,12,66,78,50,22,11,34,96,273,FT,West
Blake Griffin,PF,24,LAC,80,80,2863,0.528,0.5329999999999999,0.715,192,565,757,309,92,51,224,265,1930,FT,West
Jorge Gutierrez,PG,25,BRK,15,2,244,0.46299999999999997,0.491,0.75,3,19,22,30,10,1,14,37,62,FT,East
Tyler Hansbrough,PF,28,TOR,64,4,978,0.474,0.474,0.6809999999999999,120,167,287,17,28,19,47,132,312,FT,East
Tim Hardaway,SG,21,NYK,81,1,1875,0.428,0.523,0.828,19,102,121,66,44,7,47,144,824,NP,East
James Harden,SG,24,HOU,73,73,2777,0.456,0.529,0.866,61,283,344,446,115,29,265,177,1851,FT,West
Maurice Harkless,SF,20,ORL,80,41,1950,0.46399999999999997,0.525,0.594,69,195,264,80,97,50,86,140,592,NP,West
Josh Harrellson,C,24,DET,32,0,317,0.46299999999999997,0.537,0.7140000000000001,30,46,76,15,6,15,10,44,93,NP,East
Al Harrington,PF,33,WAS,34,0,511,0.396,0.478,0.7709999999999999,15,65,80,28,14,0,34,72,225,FT,East
Devin Harris,PG,30,DAL,40,0,818,0.37799999999999995,0.439,0.8,8,77,85,178,28,2,59,72,315,FT,West
Manny Harris,SG,24,LAL,9,0,180,0.4,0.45,0.833,7,27,34,11,4,1,9,10,73,NP,West
Mike Harris,PF,30,UTA,20,0,225,0.475,0.475,0.963,15,18,33,5,16,7,11,36,84,NP,West
Tobias Harris,PF,21,ORL,61,36,1850,0.46399999999999997,0.486,0.807,88,336,424,82,41,24,78,143,893,NP,West
Udonis Haslem,PF,33,MIA,46,18,653,0.507,0.507,0.568,42,133,175,13,11,15,24,79,173,F,East
Gordon Hayward,SF,23,UTA,77,77,2800,0.413,0.45399999999999996,0.816,62,329,391,400,110,40,212,155,1248,NP,West
Gerald Henderson,SG,26,CHA,77,77,2461,0.433,0.455,0.7609999999999999,31,279,310,199,51,32,113,159,1081,FT,East
Xavier Henry,SF,22,LAL,43,5,908,0.41700000000000004,0.45799999999999996,0.655,25,89,114,51,44,7,57,79,432,NP,West
John Henson,PF,23,MIL,70,23,1856,0.5379999999999999,0.5379999999999999,0.514,171,326,497,113,41,116,114,185,779,NP,East
Roy Hibbert,C,27,IND,81,81,2409,0.439,0.44,0.77,202,336,538,91,29,182,148,269,871,F,East
J.J. Hickson,PF,25,DEN,69,52,1859,0.508,0.508,0.517,206,426,632,96,47,51,128,177,814,NP,West
Nene Hilario,PF,31,WAS,53,37,1560,0.503,0.504,0.583,65,229,294,153,64,47,117,164,754,FT,East
George Hill,PG,27,IND,76,76,2434,0.442,0.519,0.807,53,230,283,265,75,23,92,158,781,F,East
Jordan Hill,PF,26,LAL,72,32,1500,0.5489999999999999,0.5489999999999999,0.685,194,341,535,54,29,64,75,172,696,NP,West
Solomon Hill,SF,22,IND,28,0,226,0.425,0.513,0.857,9,32,41,12,5,2,13,19,47,F,East
Kirk Hinrich,PG,33,CHI,73,61,2116,0.39299999999999996,0.461,0.76,31,161,192,286,80,26,120,203,666,FT,East
Jrue Holiday,PG,23,NOP,34,34,1143,0.447,0.48,0.81,28,114,142,268,56,12,105,92,487,NP,East
Ryan Hollins,PF,29,LAC,61,0,482,0.736,0.736,0.625,31,59,90,8,9,31,29,87,141,FT,West
Scotty Hopson,SG,24,CLE,2,0,7,0.0,0.0,0.5,0,0,0,1,1,0,0,0,1,NP,East
Al Horford,C,27,ATL,29,29,958,0.5670000000000001,0.5710000000000001,0.682,66,178,244,76,27,44,64,56,538,FT,East
Dwight Howard,C,28,HOU,71,71,2396,0.591,0.593,0.547,231,635,866,131,60,128,229,240,1297,FT,West
Robbie Hummel,SF,24,MIN,53,5,655,0.379,0.469,0.938,35,97,132,23,16,2,10,57,181,NP,West
Kris Humphries,PF,28,BOS,69,30,1376,0.501,0.501,0.813,127,282,409,67,31,61,64,136,579,NP,East
Serge Ibaka,PF,24,OKC,81,81,2666,0.536,0.5479999999999999,0.784,224,485,709,85,39,219,123,233,1227,F,West
Andre Iguodala,SF,30,GSW,63,63,2040,0.48,0.5479999999999999,0.652,53,240,293,263,95,18,100,103,588,FT,West
Ersan Ilyasova,PF,26,MIL,55,47,1478,0.409,0.441,0.823,107,235,342,72,46,8,61,135,618,NP,East
Kyrie Irving,PG,21,CLE,71,71,2496,0.43,0.48,0.861,52,207,259,433,108,23,190,163,1478,NP,East
Jarrett Jack,PG,30,CLE,80,31,2252,0.41,0.455,0.8390000000000001,22,201,223,324,56,22,133,133,760,NP,East
Reggie Jackson,PG,23,OKC,80,36,2277,0.44,0.485,0.893,43,270,313,331,85,9,168,142,1047,F,West
Stephen Jackson,SF,35,LAC,9,0,107,0.231,0.25,0.5,2,8,10,5,6,1,6,11,15,FT,West
Bernard James,C,28,DAL,30,0,146,0.478,0.478,0.545,15,27,42,3,3,8,10,24,28,FT,West
LeBron James,PF,29,MIA,77,77,2902,0.5670000000000001,0.61,0.75,81,452,533,488,121,26,270,126,2089,F,East
Mike James,PG,38,CHI,11,0,77,0.23800000000000002,0.262,0.0,0,7,7,17,2,0,5,11,11,FT,East
Antawn Jamison,PF,37,LAC,22,0,248,0.315,0.359,0.72,9,46,55,7,9,3,7,29,84,FT,West
Al Jefferson,C,29,CHA,73,73,2553,0.509,0.51,0.69,156,636,792,155,67,79,124,176,1594,FT,East
Richard Jefferson,SF,33,UTA,82,78,2213,0.45,0.544,0.741,18,201,219,130,56,14,94,168,831,NP,West
John Jenkins,SG,22,ATL,13,0,158,0.381,0.429,1.0,3,19,22,11,1,1,11,11,40,FT,East
Brandon Jennings,PG,24,DET,80,79,2728,0.373,0.441,0.7509999999999999,59,185,244,609,101,8,215,157,1241,NP,East
Jonas Jerebko,PF,26,DET,64,0,741,0.47100000000000003,0.546,0.7290000000000001,51,124,175,39,21,6,43,85,270,NP,East
Amir Johnson,PF,26,TOR,77,72,2214,0.562,0.578,0.636,172,333,505,115,56,88,123,271,799,FT,East
Chris Johnson,SF,23,BOS,40,0,789,0.397,0.498,0.86,31,66,97,31,27,4,22,63,250,NP,East
James Johnson,SF,26,MEM,52,4,956,0.46399999999999997,0.5,0.8440000000000001,60,106,166,111,42,57,66,102,384,FT,West
Joe Johnson,SG,32,BRK,79,79,2575,0.45399999999999996,0.5329999999999999,0.815,48,222,270,216,47,10,120,129,1245,FT,East
Wesley Johnson,SF,26,LAL,79,62,2240,0.425,0.502,0.792,70,278,348,124,86,77,90,207,715,NP,West
Darius Johnson-Odom,SG,24,PHI,3,0,15,0.0,0.0,0.0,0,2,2,1,1,0,2,3,0,NP,East
James Jones,SF,33,MIA,20,6,236,0.456,0.662,0.636,2,21,23,9,3,4,4,6,97,F,East
Perry Jones,PF,22,OKC,62,7,764,0.45899999999999996,0.519,0.667,28,86,114,26,14,19,21,62,216,F,West
Solomon Jones,PF,29,ORL,11,0,85,0.353,0.353,0.5,8,8,16,2,2,2,2,12,14,NP,West
Terrence Jones,PF,22,HOU,76,71,2078,0.542,0.564,0.605,162,366,528,87,53,99,71,139,921,FT,West
DeAndre Jordan,C,25,LAC,82,82,2870,0.6759999999999999,0.6759999999999999,0.428,331,783,1114,74,80,203,123,264,856,FT,West
Cory Joseph,SG,22,SAS,68,19,936,0.475,0.498,0.823,32,75,107,114,35,14,43,84,343,F,West
Chris Kaman,C,31,LAL,39,13,736,0.509,0.509,0.765,54,175,229,58,11,40,74,93,404,NP,West
Enes Kanter,C,21,UTA,80,37,2138,0.491,0.491,0.73,222,376,598,75,28,42,144,230,987,NP,West
Sergey Karasev,SF,20,CLE,22,1,156,0.34299999999999997,0.4,0.9,0,16,16,6,3,1,11,22,37,NP,East
Ryan Kelly,PF,22,LAL,59,25,1312,0.423,0.488,0.815,42,177,219,95,32,45,47,147,472,NP,West
Michael Kidd-Gilchrist,SF,20,CHA,62,62,1502,0.473,0.475,0.614,109,215,324,52,43,39,60,145,448,FT,East
Andrei Kirilenko,PF,32,BRK,45,4,857,0.513,0.516,0.513,55,91,146,72,40,19,54,65,226,FT,East
Brandon Knight,PG,22,MIL,72,69,2400,0.42200000000000004,0.473,0.802,46,209,255,352,69,17,188,146,1291,NP,East
Kyle Korver,SG,32,ATL,71,71,2408,0.475,0.626,0.9259999999999999,22,260,282,208,70,24,102,147,850,FT,East
Kosta Koufos,C,24,MEM,80,22,1349,0.495,0.495,0.645,160,258,418,39,32,71,67,182,514,FT,West
Viacheslav Kravtsov,C,26,PHO,20,0,59,0.5329999999999999,0.5329999999999999,0.5,9,8,17,1,0,1,6,7,20,NP,West
Ognjen Kuzmic,C,23,GSW,21,0,92,0.385,0.385,0.455,10,11,21,2,3,4,10,17,15,FT,West
Doron Lamb,SG,22,ORL,53,0,695,0.39399999999999996,0.506,0.8059999999999999,8,41,49,43,11,1,27,54,191,NP,West
Jeremy Lamb,SG,21,OKC,78,0,1538,0.4320000000000001,0.504,0.797,27,162,189,115,56,26,61,143,665,F,West
Carl Landry,PF,30,SAC,18,1,233,0.517,0.517,0.8240000000000001,15,42,57,5,3,1,9,34,76,NP,West
Shane Larkin,PG,21,DAL,48,0,489,0.38,0.423,0.64,11,31,42,71,26,1,39,46,132,FT,West
Ty Lawson,PG,26,DEN,62,61,2222,0.431,0.475,0.7979999999999999,40,175,215,543,100,10,200,113,1090,NP,West
Ricky Ledo,SG,21,DAL,11,0,33,0.353,0.441,1.0,0,2,2,2,1,0,2,2,19,FT,West
David Lee,PF,30,GSW,69,67,2288,0.523,0.523,0.78,182,461,643,147,48,26,152,206,1257,FT,West
Alex Len,C,20,PHO,42,3,362,0.423,0.423,0.645,39,60,99,4,4,18,26,68,86,NP,West
Kawhi Leonard,SF,22,SAS,66,65,1923,0.522,0.5760000000000001,0.802,76,336,412,133,114,50,80,127,844,F,West
Meyers Leonard,C,21,POR,40,0,355,0.451,0.451,0.762,26,85,111,18,7,5,15,76,98,FT,West
